,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
18,2023-11-07,20:00,Champions Lg,Group stage,Tue,Away,L,0.0,2.0,pt Porto,0.6,2.2,33.0,44830.0,Arthur Vermeeren,4-2-3-1,Maurizio Mariani,Match Report,,4.0,1.0,14.9,0.0,0,0,2023,Antwerp
21,2023-11-28,19:45,Champions Lg,Group stage,Tue,Away,L,0.0,1.0,ua Shakhtar,1.1,1.3,57.0,47209.0,Toby Alderweireld,4-2-3-1,Bartosz Frankowski,Match Report,,14.0,6.0,15.4,0.0,0,0,2023,Antwerp
24,2023-12-13,21:00,Champions Lg,Group stage,Wed,Home,W,3.0,2.0,es Barcelona,1.7,1.1,31.0,13550.0,Toby Alderweireld,4-5-1,Marco Guida,Match Report,,11.0,5.0,15.6,0.0,0,0,2023,Antwerp
5,2023-09-20,18:45,Champions Lg,Group stage,Wed,Away,L,0.0,1.0,es Real Madrid,0.2,3.7,25.0,65207.0,Sheraldo Becker,3-5-2,Espen Eskås,Match Report,,4.0,0.0,12.9,0.0,0,0,2023,Union Berlin
8,2023-10-03,18:45,Champions Lg,Group stage,Tue,Home,L,2.0,3.0,pt Braga,2.0,1.2,37.0,73445.0,Sheraldo Becker,5-3-2,Srđan Jovanović,Match Report,,13.0,5.0,16.7,1.0,0,0,2023,Union Berlin
11,2023-10-24,21:00,Champions Lg,Group stage,Tue,Home,L,0.0,1.0,it Napoli,0.4,0.2,41.0,72062.0,Christopher Trimmel,3-1-4-2,Irfan Peljto,Match Report,,11.0,2.0,19.8,0.0,0,0,2023,Union Berlin
15,2023-11-08,18:45,Champions Lg,Group stage,Wed,Away,D,1.0,1.0,it Napoli,1.1,1.7,27.0,42449.0,Rani Khedira,3-5-2,Danny Makkelie,Match Report,,15.0,6.0,19.9,1.0,0,0,2023,Union Berlin
18,2023-11-29,20:00,Champions Lg,Group stage,Wed,Away,D,1.0,1.0,pt Braga,0.8,1.8,47.0,15855.0,Rani Khedira,4-1-4-1,Clément Turpin,Match Report,,6.0,2.0,12.8,0.0,0,0,2023,Union Berlin
20,2023-12-12,21:00,Champions Lg,Group stage,Tue,Home,L,2.0,3.0,es Real Madrid,1.1,2.9,26.0,73420.0,Rani Khedira,5-3-2,Rade Obrenović,Match Report,,8.0,5.0,14.5,0.0,0,0,2023,Union Berlin
5,2023-09-20,21:00,Champions Lg,Group stage,Wed,Home,D,1,1,fr Lens,0.8,1.3,56.0,33544.0,Ivan Rakitić,4-2-3-1,Tobias Stieler,Match Report,,10.0,5.0,13.1,0.0,0,0,2023,Sevilla
9,2023-10-03,21:00,Champions Lg,Group stage,Tue,Away,D,2,2,nl PSV Eindhoven,1.3,2.6,37.0,34206.0,Jesús Navas,4-2-3-1,Daniele Orsato,Match Report,,10.0,2.0,15.8,0.0,0,0,2023,Sevilla
12,2023-10-24,21:00,Champions Lg,Group stage,Tue,Home,L,1,2,eng Arsenal,0.8,1.9,57.0,39595.0,Jesús Navas,4-2-3-1,Glenn Nyberg,Match Report,,11.0,2.0,17.7,0.0,0,0,2023,Sevilla
16,2023-11-08,20:00,Champions Lg,Group stage,Wed,Away,L,0,2,eng Arsenal,0.0,1.5,38.0,60024.0,Fernando,4-2-3-1,István Kovács,Match Report,,1.0,1.0,22.0,0.0,0,0,2023,Sevilla
19,2023-11-29,18:45,Champions Lg,Group stage,Wed,Home,L,2,3,nl PSV Eindhoven,1.8,2.2,40.0,29403.0,Jesús Navas,4-3-3,Davide Massa,Match Report,,11.0,4.0,15.6,0.0,0,0,2023,Sevilla
23,2023-12-12,18:45,Champions Lg,Group stage,Tue,Away,L,1,2,fr Lens,1.3,1.4,65.0,37456.0,Ivan Rakitić,3-5-1-1,Felix Zwayer,Match Report,,9.0,3.0,18.4,0.0,1,1,2023,Sevilla
7,2023-09-19,20:00,Champions Lg,Group stage,Tue,Away,L,1,3,eng Manchester City,0.8,4.1,24.0,50204.0,Aleksandar Dragović,5-3-2,João Pinheiro,Match Report,,3.0,2.0,19.3,0.0,0,0,2023,Red Star Belgrade
9,2023-10-04,21:00,Champions Lg,Group stage,Wed,Home,D,2,2,ch Young Boys,2.6,2.6,50.0,47201.0,Aleksandar Dragović,4-2-3-1,William Collum,Match Report,,20.0,9.0,13.7,0.0,0,0,2023,Red Star Belgrade
12,2023-10-25,21:00,Champions Lg,Group stage,Wed,Away,L,1,3,de RB Leipzig,1.0,3.1,35.0,42209.0,Aleksandar Dragović,3-5-2,José Sánchez,Match Report,,16.0,4.0,19.9,0.0,0,0,2023,Red Star Belgrade
16,2023-11-07,21:00,Champions Lg,Group stage,Tue,Home,L,1,2,de RB Leipzig,1.5,2.3,50.0,41961.0,Aleksandar Dragović,5-3-2,Daniele Orsato,Match Report,,15.0,3.0,18.1,0.0,0,0,2023,Red Star Belgrade
19,2023-11-28,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,ch Young Boys,1.8,1.3,53.0,31500.0,Aleksandar Dragović,4-1-2-1-2◆,Danny Makkelie,Match Report,,18.0,3.0,17.6,0.0,0,0,2023,Red Star Belgrade
22,2023-12-13,18:45,Champions Lg,Group stage,Wed,Home,L,2,3,eng Manchester City,1.1,1.4,32.0,49443.0,Aleksandar Dragović,5-3-2,Əliyar Ağayev,Match Report,,11.0,6.0,17.4,0.0,0,0,2023,Red Star Belgrade
